Solution-size,Classification-error
19,0.025694
19,0.033333
18,0.039583
13,0.038194
10,0.039583
9,0.044444
8,0.052778
7,0.054861
6,0.058333
5,0.071528
4,0.084028
3,0.13125
2,0.20486
1,0.43889
