Solution-size,Classification-error
39,0.027692
27,0.033077
23,0.036923
20,0.04
17,0.040769
15,0.045385
14,0.051538
13,0.054615
11,0.059231
8,0.059231
7,0.061538
5,0.067692
5,0.074615
4,0.089231
3,0.12
2,0.22231
1,0.48846
