Solution-size,Classification-error
55,0.017273
49,0.018182
43,0.018182
23,0.02
17,0.020909
15,0.027273
12,0.035455
11,0.041818
10,0.048182
8,0.06
8,0.075455
7,0.093636
6,0.11364
5,0.15909
3,0.24091
3,0.30455
2,0.54273
